# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	539
#@/user_id	37056f9d-afe8-46c2-8041-133d94fb0b15
a 	啊	c=1 d=0.142274 t=539
hai yao 	還要	c=1 d=0.315058 t=539
hang kong 	航空	c=0 d=0.0546074 t=539
hang kong zong yi yuan 	航空總醫院	c=1 d=0.548812 t=539
hang qing 	行情	c=1 d=0.186374 t=539
hao duo tian 	好多天	c=1 d=0.232236 t=539
hao gui 	好貴	c=1 d=0.224249 t=539
hao le 	好了	c=2 d=1.24171 t=539
he 	和	c=1 d=0.121238 t=539
he he 	呵呵	c=0 d=0.0357007 t=539
he he da 	呵呵噠	c=4 d=1.79891 t=539
he shi 	合適	c=1 d=0.410656 t=539
hei ya ya 	黑壓壓	c=0 d=0.0208045 t=539
hei ya ya you 	黑壓壓有	c=1 d=0.209088 t=539
hen di 	很低	c=2 d=0.690188 t=539
hou nian ma yue 	猴年馬月	c=1 d=0.343009 t=539
hua fei 	化肥	c=1 d=0.22313 t=539
hua shuo 	話說	c=1 d=0.19593 t=539
huan 	換	c=1 d=0.786628 t=539
hui 	會	c=0 d=0.0186374 t=539
hui bian cheng shen me yang zi 	會變成什麼樣子	c=1 d=0.187308 t=539
hui jia 	回家	c=0 d=0.0211189 t=539
hui jia zhong di 	回家種地	c=1 d=0.212248 t=539
huo er 	活兒	c=1 d=0.179066 t=539
huo le 	活了	c=0 d=0.0164474 t=539
huo ying 	霍營	c=1 d=0.433874 t=539
ji 	及	c=1 d=0.100761 t=539
ji ben 	基本	c=1 d=0.109154 t=539
ji ge 	幾個	c=1 d=0.131336 t=539
ji ji 	唧唧	c=2 d=0.209894 t=539
ji ji fu ji ji 	唧唧覆唧唧	c=3 d=0.302302 t=539
ji tuan 	集團	c=1 d=0.264477 t=539
ji xie 	機械	c=0 d=0.0226502 t=539
ji xie shou ge 	機械收割	c=1 d=0.227638 t=539
jia ge 	價格	c=1 d=0.214381 t=539
jia shang 	加上	c=1 d=0.349938 t=539
jian 	間	c=1 d=1 t=539
jian dan 	簡單	c=0 d=0.0852144 t=539
jian dan bao li 	簡單暴力	c=1 d=0.856415 t=539
jian ge 	間隔	c=1 d=0.995012 t=539
jian guo 	堅果	c=0 d=0.1 t=501
jian guo yun 	堅果雲	c=1 d=1 t=502
jiang jin 	將近	c=0 d=0.0955997 t=539
jiang jin yi ge xiao shi 	將近一個小時	c=1 d=0.960789 t=539
jiao di 	澆地	c=0 d=0.0225373 t=539
jiao di yong dian 	澆地用電	c=1 d=0.226502 t=539
jie guo 	結果	c=0 d=0.0496984 t=539
jie jue 	解決	c=1 d=0.332871 t=539
jie mian 	界面	c=0 d=0.0272532 t=539
jin tian 	今天	c=0 d=0.0139457 t=539
jin tian tian qi zen me yang 	今天天氣怎麼樣	c=1 d=0.140156 t=539
jing ran 	竟然	c=0 d=0.0164474 t=539
jing ran lai huo le 	竟然來活了	c=1 d=0.165299 t=539
jiu 	就	c=4 d=2.08158 t=539
jiu bie xiang 	就別想	c=1 d=0.447088 t=539
ju shang 	居上	c=1 d=0.744532 t=539
kai yuan 	開源	c=1 d=0.878095 t=539
kan 	看	c=1 d=0.402524 t=539
kan bu dao 	看不到	c=1 d=0.666977 t=539
kan dao 	看到	c=2 d=0.892239 t=539
kan jian 	看見	c=1 d=0.408608 t=539
kan kan 	看看	c=2 d=1.88692 t=532
ke fu dian hua 	客服電話	c=0 d=0.0242926 t=539
ke yi 	可以	c=3 d=0.902416 t=539
ke yi you 	可以有	c=1 d=0.183599 t=539
ke zuo 	可做	c=1 d=0.162026 t=539
keng 	坑	c=1 d=0.852144 t=539
kong ge 	空格	c=1 d=0.136014 t=539
kong shan xin yu hou 	空山新雨後	c=1 d=0.106459 t=539
ku 	庫	c=1 d=0.159735 t=539
kuai bei 	快被	c=0 d=0.0179964 t=539
kuai di 	快遞	c=0 d=0.0190748 t=539
kuan du 	寬度	c=2 d=1.03372 t=539
lai 	來	c=0 d=0.0164474 t=539
lai hui 	來回	c=1 d=0.120032 t=539
lang fei 	浪費	c=0 d=0.0951229 t=539
lang fei le wo 	浪費了我	c=1 d=0.955997 t=539
le 	了	c=16 d=6.37273 t=539
le mei 	了沒	c=1 d=1 t=536
lian xi ren 	聯繫人	c=1 d=0.56836 t=539
liang dian 	亮點	c=1 d=1 t=522
liang shi 	糧食	c=1 d=0.213312 t=539
liang zhong 	兩種	c=0 d=0.0571209 t=539
liang zhong zhuang tai 	兩種狀態	c=1 d=0.574072 t=539
lie biao 	列表	c=1 d=0.321422 t=539
ling dao 	領導	c=1 d=0.171187 t=539
liu 	流	c=0 d=0.0137381 t=539
ma 	嗎	c=4 d=1.8767 t=539
ma dan 	麻蛋	c=0 d=0.0932394 t=539
ma dan de 	麻蛋的	c=1 d=0.937067 t=539
mao xian 	毛線	c=0 d=0.0335598 t=539
me 	麼	c=1 d=0.494109 t=539
mei 	沒	c=1 d=0.583257 t=539
mei dong xi 	沒東西	c=1 d=0.182823 t=539
mei dong xi zuo ge mao xian 	沒東西做個毛線	c=1 d=0.167797 t=539
mei ge 	每個	c=1 d=0.810584 t=539
mei jie guo 	沒結果	c=1 d=0.254107 t=539
mei le 	沒了	c=1 d=0.774916 t=539
mei shu ju 	沒數據	c=1 d=0.168638 t=539
mei tian 	每天	c=1 d=0.202909 t=539
mei you 	沒有	c=3 d=1.20375 t=539
mei you xiao guo 	沒有效果	c=1 d=0.092089 t=539
mei zhun er 	沒準兒	c=1 d=0.22091 t=539
ming nian 	明年	c=1 d=0.18452 t=539
ming zi 	名字	c=1 d=0.164151 t=539
mo ren 	默認	c=2 d=0.184779 t=539
mo ren zhong wen 	默認中文	c=1 d=0.126818 t=539
mo shou shi jie 	魔獸世界	c=1 d=0.97531 t=539
na 	那	c=0 d=0.0179066 t=539
na bian 	那邊	c=1 d=0.20089 t=539
na ge 	那個	c=1 d=0.791668 t=539
na ke 	那顆	c=1 d=0.798516 t=539
na me 	那麼	c=0 d=0.0433874 t=539
na me duo 	那麼多	c=1 d=0.190139 t=539
na me niu bi 	那麼牛逼	c=1 d=0.436049 t=539
na ren 	那人	c=1 d=0.205975 t=539
na shi 	那是	c=1 d=0.1764 t=539
na shuo ming 	那說明	c=1 d=0.179964 t=539
nan 	南	c=1 d=0.465334 t=539
nan bian 	南邊	c=1 d=0.467666 t=539
nan bu cheng 	難不成	c=1 d=0.806541 t=539
nan dao 	難道	c=1 d=0.298197 t=539
ne 	呢	c=3 d=0.43865 t=539
neng 	能	c=1 d=0.683861 t=539
ni 	你	c=2 d=1.17336 t=539
ni bu shi 	你不是	c=1 d=0.484325 t=539
ni de 	你的	c=2 d=0.266628 t=539
ni de ming zi shi 	你的名字是	c=1 d=0.0930145 t=539
ni de wo 	你的我	c=1 d=0.107528 t=539
ni dong 	你懂	c=1 d=0.425283 t=539
ni hai bu ru 	你還不如	c=1 d=0.453845 t=539
ni ke yi 	你可以	c=1 d=0.157237 t=539
ni kuai bei tao tai 	你快被淘汰	c=1 d=0.180866 t=539
ni xian zai 	你現在	c=1 d=0.57695 t=539
ni zai 	你在	c=0 d=0.0102797 t=539
ni zai zuo shen me 	你在做什麼	c=3 d=0.352238 t=539
nian 	年	c=1 d=0.177284 t=539
nian di 	年底	c=0 d=0.0163654 t=539
nian di le 	年底了	c=1 d=0.164474 t=539
niu bi 	牛逼	c=0 d=0.0433874 t=539
nong 	弄	c=2 d=0.286691 t=539
ping shi 	平時	c=1 d=0.125433 t=539
ping shi yong de bai du 	平時用的百度	c=1 d=0.118837 t=539
qi ta 	其他	c=2 d=0.630123 t=539
qie huan 	切換	c=3 d=0.371157 t=539
qie huan dao 	切換到	c=2 d=1.03103 t=539
qing qiu 	請求	c=1 d=0.356477 t=539
qing qiu can shu 	請求參數	c=1 d=0.302704 t=539
qing qiu shi bai 	請求失敗	c=1 d=0.357007 t=539
qu 	去	c=1 d=0.367879 t=539
quan yi 	權益	c=1 d=0.985112 t=539
ren 	人	c=1 d=0.191092 t=539
ru guo 	如果	c=1 d=0.677057 t=539
ruan jian 	軟件	c=1 d=0.131994 t=539
sai fong fen 	賽甮分	c=1 d=0.0845849 t=539
sai fong fen sen 	賽甮分森	c=1 d=0.08291 t=539
sai shang qu 	塞上曲	c=1 d=0.10383 t=539
san jiao 	三角	c=1 d=0.32628 t=539
shang 	上	c=2 d=1.04104 t=539
she bei guan li 	設備管理	c=1 d=1 t=511
she zhi 	設置	c=1 d=0.206205 t=539
shen he 	審覈	c=2 d=0.786658 t=539
shen he gong si 	審覈公司	c=1 d=0.380983 t=539
shen me 	什麼	c=1 d=0.0934807 t=539
shen me shi qing 	什麼事情	c=0 d=0.0160414 t=539
shen me yang zi 	什麼樣子	c=0 d=0.0186374 t=539
shi 	是	c=7 d=2.42302 t=539
shi bai 	失敗	c=0 d=0.0355226 t=539
shi bu shi 	是不是	c=0 d=0.0429557 t=539
shi bu shi ba 	是不是吧	c=1 d=0.431711 t=539
shi hao 	十號	c=0 d=0.0494109 t=539
shi hao xian 	十號線	c=1 d=0.496585 t=539
shi jian 	時間	c=0 d=0.0108067 t=539
shi qing 	事情	c=1 d=0.346456 t=539
shi shi 	試試	c=2 d=1.54148 t=539
shi shi gao yi xia 	試試搞一下	c=1 d=0.158025 t=539
shi tian 	十天	c=4 d=0.971531 t=539
shi yi tian 	十一天	c=1 d=0.247833 t=539
shi yong 	使用	c=1 d=0.114178 t=539
shou 	收	c=0 d=0.0431991 t=539
shou bu dao 	收不到	c=1 d=0.25924 t=539
shou bu hui 	收不回	c=1 d=0.217621 t=539
shou bu hui cheng ben 	收不會成本	c=1 d=0.216536 t=539
shou ge 	收割	c=0 d=0.0226502 t=539
shou ji 	手機	c=2 d=1.5574 t=539
shu ju 	數據	c=2 d=1.08414 t=539
shu ju ma 	數據嗎	c=1 d=0.276651 t=539
shu ma 	數碼	c=1 d=0.615697 t=539
shu ru 	輸入	c=2 d=0.226359 t=539
shu ru fa 	輸入法	c=4 d=1.27027 t=539
shu zi 	數字	c=1 d=0.763379 t=539
shuang pin 	雙拼	c=0 d=0.011475 t=539
shuang pin xi guan 	雙拼習慣	c=1 d=0.115325 t=539
shuo bu hao 	說不好	c=1 d=0.189191 t=539
shuo ming 	說明	c=0 d=0.0179066 t=539
song fan 	送飯	c=0 d=0.00982736 t=539
sou suo 	搜索	c=1 d=1 t=518
sui bian 	隨便	c=0 d=0.0637628 t=539
sui bian zhu 	隨便住	c=1 d=0.640824 t=539
ta me 	他麼	c=1 d=0.339596 t=539
tai gui 	太貴	c=0 d=0.0477114 t=539
tai gui le 	太貴了	c=1 d=0.479505 t=539
tao tai 	淘汰	c=0 d=0.0179964 t=539
tian de 	天的	c=0 d=0.0108067 t=539
tian jia 	添加	c=1 d=0.624447 t=539
tian qi 	天氣	c=0 d=0.0139457 t=539
tian tian 	天天	c=1 d=0.371577 t=539
tiao cao 	跳槽	c=1 d=0.489192 t=539
ting hao 	挺好	c=1 d=0.585669 t=539
tong bu 	同步	c=1 d=1 t=500
tong shi huan you ren 	同是宦遊人	c=1 d=0.105928 t=539
tong xun lu 	通訊錄	c=2 d=1.3297 t=539
tou su 	投訴	c=2 d=0.353163 t=539
tou xiang 	頭像	c=1 d=0.323033 t=539
wai guan 	外觀	c=0 d=0.00911727 t=539
wan 	玩	c=1 d=0.174645 t=539
wan neng 	萬能	c=1 d=1 t=514
wang 	往	c=1 d=0.463013 t=539
wang pan 	網盤	c=1 d=1.09851 t=539
wei mao 	爲毛	c=2 d=1.28833 t=539
wei mao 	蝟毛	c=1 d=0.628135 t=539
wen 	文	c=1 d=0.0889216 t=539
wen zi 	文字	c=6 d=4.00529 t=539
wo 	我	c=11 d=5.30311 t=539
wo ai 	我愛	c=3 d=0.457774 t=539
wo bu 	我不	c=0 d=0.0140858 t=539
wo bu zhi dao 	我不知道	c=1 d=0.141564 t=539
wo ca 	我擦	c=1 d=0.336216 t=539
wo de 	我的	c=2 d=0.180081 t=539
wo gei 	我給	c=1 d=0.331211 t=539
wo o 	我哦	c=1 d=0.66034 t=539
wo zai 	我在	c=1 d=0.173774 t=539
wu xiao 	無效	c=1 d=0.263158 t=539
wu yang wu yang 	烏央烏央	c=1 d=0.207008 t=539
xi guan 	習慣	c=0 d=0.011475 t=539
xi nan jiao 	西南角	c=1 d=0.499074 t=539
xia bian 	下邊	c=1 d=0.70822 t=539
xia mian 	下面	c=1 d=0.83527 t=539
xia zai 	下載	c=2 d=1.97531 t=530
xian 	線	c=0 d=0.0494109 t=539
xian zai 	現在	c=1 d=0.181715 t=539
xian zhe 	閒着	c=0 d=0.0158817 t=539
xian zhe bu shi xian zhe 	閒着不是閒着	c=1 d=0.159614 t=539
xiang 	想	c=1 d=0.460704 t=539
xiao ban 	小半	c=0 d=0.0108067 t=539
xiao guo 	效果	c=1 d=0.621791 t=539
xiao lv 	效率	c=1 d=0.423162 t=539
xie zai 	卸載	c=1 d=0.826959 t=539
xie zai 	寫在	c=1 d=0.831104 t=539
xin yong ka 	信用卡	c=1 d=0.980199 t=539
xing biao 	星標	c=1 d=0.324652 t=539
xiu gai 	修改	c=1 d=0.509156 t=539
xu yao 	需要	c=1 d=0.285076 t=539
yao 	要	c=1 d=0.486752 t=539
ye mei 	也沒	c=0 d=0.0244143 t=539
ye mei jie guo 	也沒結果	c=1 d=0.245367 t=539
yi 	已	c=0 d=0.0229925 t=539
yi bian 	一邊	c=2 d=0.797048 t=539
yi da pian 	一大片	c=1 d=0.211189 t=539
yi dian 	一點	c=0 d=0.0644036 t=539
yi dian cheng xin 	一點誠信	c=1 d=0.647265 t=539
yi dong 	移動	c=1 d=0.701173 t=539
yi feng fa 	已封髮	c=2 d=0.489024 t=539
yi ge 	一個	c=1 d=1 t=531
yi ge xiao shi 	一個小時	c=0 d=0.0955997 t=539
yi jing 	已經	c=1 d=0.110251 t=539
yi ku 	衣褲	c=0 d=0.1 t=519
yi nian 	一年	c=0 d=0.038868 t=539
yi nian yi shen 	一年一審	c=1 d=0.390628 t=539
yi shen 	一審	c=0 d=0.038868 t=539
yi xia 	一下	c=1 d=0.308015 t=539
yi zhi dou shi 	一直都是	c=1 d=0.472367 t=539
ying wen 	英文	c=4 d=1.23681 t=539
ying wen dan ci 	英文單詞	c=1 d=0.144424 t=539
ying yu 	英語	c=3 d=0.450958 t=539
yong 	用	c=2 d=1.79106 t=539
yong de 	用的	c=0 d=0.0118245 t=539
yong dian 	用電	c=0 d=0.0225373 t=539
yong le xiao ban tian de shi jian 	用了小半天的時間	c=1 d=0.108609 t=539
you 	優	c=0 d=0.1 t=519
you 	又	c=1 d=0.597501 t=539
you 	有	c=1 d=0.191138 t=539
you mei 	又沒	c=0 d=0.0160414 t=539
you mei shen me shi qing 	又沒什麼事情	c=1 d=0.161218 t=539
you shen me 	有什麼	c=1 d=1 t=521
you shi hou 	有時候	c=1 d=0.119433 t=539
you yi ku 	優衣褲	c=1 d=1 t=520
you zheng 	郵政	c=2 d=0.4836 t=539
you zheng kuai di 	郵政快遞	c=2 d=0.357351 t=539
you zheng kuai di bao guo 	郵政快遞包裹	c=1 d=0.0948935 t=539
yu ju 	語句	c=0 d=0.0137381 t=539
yu ju liu 	語句流	c=2 d=0.277526 t=539
yu jun li bie yi 	與君離別意	c=1 d=0.105399 t=539
yu yue gua hao 	預約掛號	c=2 d=1.117 t=539
yun 	雲	c=0 d=0.1 t=501
za gao 	咋搞	c=1 d=0.802519 t=539
zai 	在	c=2 d=0.566599 t=539
zai xian 	在線	c=1 d=0.0972957 t=539
zan shi 	暫時	c=1 d=0.148823 t=539
zao shang 	早上	c=1 d=0.203926 t=539
zen me yang 	怎麼樣	c=0 d=0.0139457 t=539
zhan dian 	站點	c=1 d=0.532592 t=539
zhao gong zuo 	找工作	c=1 d=0.19398 t=539
zhao shang 	招商	c=1 d=0.970446 t=539
zhe 	着	c=1 d=0.404542 t=539
zhe ge 	這個	c=3 d=1.10558 t=539
zhe li 	這裏	c=4 d=1.89071 t=539
zhe shi 	這是	c=1 d=0.267135 t=539
zhen ji 	真機	c=0 d=0.00902655 t=539
zhen ji ce shi 	真機測試	c=1 d=0.090718 t=539
zhen shuang 	真爽	c=1 d=0.900325 t=539
zheng shi 	正式	c=1 d=1 t=528
zhi dao 	知道	c=0 d=0.0140858 t=539
zhi hou 	之後	c=1 d=0.201897 t=539
zhi jie 	直接	c=0 d=0.0865022 t=539
zhi jie tian jia 	直接添加	c=1 d=0.869358 t=539
zhi yao 	只要	c=1 d=0.12493 t=539
zhi you 	只有	c=1 d=0.272532 t=539
zhong 	中	c=3 d=0.259781 t=539
zhong di 	種地	c=0 d=0.0211189 t=539
zhong guan cun 	中關村	c=1 d=0.0953692 t=539
zhong guo 	中國	c=1 d=0.0963276 t=539
zhong wen 	中文	c=2 d=1.02752 t=539
zhong ying 	中英	c=3 d=0.418997 t=539
